dealer,player,handtype,action,Q-value
6, 21, 1, 1, 0.0
6, 22, 0, 0, -100.0
6, 22, 0, 1, -100.0
6, 22, 1, 0, -100.0
6, 22, 1, 1, -100.0
7, 0, 0, 0, 0.0
7, 0, 0, 1, 0.0
7, 0, 1, 0, 0.0
7, 0, 1, 1, 0.0
7, 1, 0, 0, 0.0
7, 1, 0, 1, 0.0
7, 1, 1, 0, 0.0
7, 1, 1, 1, 0.0
7, 2, 0, 0, 0.0
7, 2, 0, 1, 0.0
7, 2, 1, 0, 0.0
7, 2, 1, 1, 0.0
7, 3, 0, 0, 0.0
7, 3, 0, 1, 0.0
7, 3, 1, 0, 0.0
7, 3, 1, 1, 0.0
7, 4, 0, 0, 0.0
7, 4, 0, 1, 0.0
7, 4, 1, 0, 1596.4245467891183
7, 4, 1, 1, 1704.1409406690116
7, 5, 0, 0, 0.0
7, 5, 0, 1, 0.0
7, 5, 1, 0, 1587.6484806642743
7, 5, 1, 1, 1639.8603384440976
7, 6, 0, 0, 0.0
7, 6, 0, 1, 0.0
7, 6, 1, 0, 1552.29862053943
7, 6, 1, 1, 1598.419855594458
7, 7, 0, 0, 0.0
7, 7, 0, 1, 0.0
7, 7, 1, 0, 1667.301982848807
7, 7, 1, 1, 1727.2594877000874
7, 8, 0, 0, 0.0
7, 8, 0, 1, 0.0
7, 8, 1, 0, 2320.9809860944765
7, 8, 1, 1, 2498.703040153841
7, 9, 0, 0, 0.0
7, 9, 0, 1, 0.0
7, 9, 1, 0, 2653.5958106538496
7, 9, 1, 1, 2902.455065067237
7, 10, 0, 0, 0.0
7, 10, 0, 1, 0.0
7, 10, 1, 0, 3113.532357703321
7, 10, 1, 1, 3271.8381242044097
7, 11, 0, 0, 0.0
7, 11, 0, 1, 0.0
7, 11, 1, 0, 1936.233932451571
7, 11, 1, 1, 1976.120507691034
7, 12, 0, 0, 2559.467612024132
7, 12, 0, 1, 2863.133436790325
7, 12, 1, 0, 1488.926465800015
7, 12, 1, 1, 1501.5261023895132
7, 13, 0, 0, 2601.5107444876303
7, 13, 0, 1, 2735.730446816567
7, 13, 1, 0, 1356.6516493245003
7, 13, 1, 1, 1351.8296995706373
7, 14, 0, 0, 2490.265152239859
7, 14, 0, 1, 2665.3873600334005
7, 14, 1, 0, 1267.884568450021
7, 14, 1, 1, 1283.8182139902362
7, 15, 0, 0, 2427.298810256058
7, 15, 0, 1, 2513.465538572222
7, 15, 1, 0, 1165.8611393313392
7, 15, 1, 1, 1175.9221375628676
7, 16, 0, 0, 2293.9891189812092
7, 16, 0, 1, 2397.9914391847574
7, 16, 1, 0, 1122.3418859376104
7, 16, 1, 1, 1081.9097707779335
7, 17, 0, 0, 2344.333950263859
7, 17, 0, 1, 2405.5303475735154
7, 17, 1, 0, 1493.8470149397788
7, 17, 1, 1, 1063.015611890234
7, 18, 0, 0, 4171.943362219415
7, 18, 0, 1, 2991.6533452672725
7, 18, 1, 0, 4222.130144550695
7, 18, 1, 1, 706.6020452625634
7, 19, 0, 0, 5246.030737831915
7, 19, 0, 1, 3208.654083019107
7, 19, 1, 0, 5257.333377680739
7, 19, 1, 1, 346.29036464631736
7, 20, 0, 0, 5851.950828218524
7, 20, 0, 1, 3317.8670341932166
7, 20, 1, 0, 5843.043612190521
7, 20, 1, 1, -71.67862741679674
7, 21, 0, 0, 6479.463258456535
7, 21, 0, 1, 1999.2286848667707
7, 21, 1, 0, 700.0
7, 21, 1, 1, 0.0
